Node,Layer,Core Domain
AutoDock,Main Concept,Formal Sciences
Fire protection engineering,Main Concept,Engineering & Technology
Chronic renal disease,Main Concept,Health & Medical Sciences
User Friendly,Main Concept,Engineering & Technology
Enzyme-mediated dye degradation,Core Thematic Domain,Life Sciences
Anesthesia,Main Concept,Social Sciences & Humanities
Liver Diseases and Immunity,Core Thematic Domain,Health & Medical Sciences
Time to first fix,Main Concept,Engineering & Technology
Luminosity function,Main Concept,Natural Sciences
"Urbanism, Landscape, and Tourism Studies",Core Thematic Domain,Social Sciences
Polyethylene glycol,Main Concept,Life Sciences
Earthquake resistance,Main Concept,Engineering & Technology
Matroid,Main Concept,Formal Sciences
Orthopaedic implants and arthroplasty,Core Thematic Domain,Health & Medical Sciences
Synthetic Aperture Radar (SAR) Applications and Techniques,Core Thematic Domain,Engineering & Technology
Astrometry,Main Concept,Natural Sciences
Atlantic hurricane,Main Concept,Natural Sciences
Volunteered geographic information,Main Concept,Social Sciences
Education and Learning Interventions,Core Thematic Domain,Formal Sciences
Hepatitis C virus research,Core Thematic Domain,Health & Medical Sciences
Asymptotic giant branch,Main Concept,Natural Sciences
Gridlock,Main Concept,Formal Sciences
Animal rights,Main Concept,Social Sciences
Simplicity,Main Concept,Formal Sciences
Turnout,Main Concept,Social Sciences & Humanities
Mobilities,Main Concept,Social Sciences & Humanities
Sparse and Compressive Sensing Techniques,Core Thematic Domain,Engineering & Technology
Moringa,Main Concept,Life Sciences
Coverage probability,Main Concept,Formal Sciences
D2-like receptor,Main Concept,Life Sciences
Wine,Main Concept,Life Sciences
Cloning vector,Main Concept,Health & Medical Sciences
Materiality (auditing),Main Concept,Social Sciences & Humanities
sync,Main Concept,Formal Sciences
Synaptic fatigue,Main Concept,Health & Medical Sciences
Mucocutaneous Lymph Node Syndrome,Main Concept,Health & Medical Sciences
Numerical Analysis,Academic Subdiscipline,Formal Sciences
Wave height,Main Concept,Natural Sciences
Comparability graph,Main Concept,Formal Sciences
Poetics,Main Concept,Social Sciences & Humanities
Photosynthetic capacity,Main Concept,Life Sciences
Corneal epithelium,Main Concept,Health & Medical Sciences
Ferricyanide,Main Concept,Health & Medical Sciences
Financial stability,Main Concept,Social Sciences & Humanities
Metonymy,Main Concept,Social Sciences
Bioactive Compounds and Antitumor Agents,Core Thematic Domain,Health & Medical Sciences
Marine fungi,Main Concept,Life Sciences
Lizard,Main Concept,Natural Sciences
Electrical impedance,Main Concept,Life Sciences
TLR4,Main Concept,Health & Medical Sciences
FGF10,Main Concept,Health & Medical Sciences
Boltzmann constant,Main Concept,Engineering & Technology
Gefitinib,Main Concept,Health & Medical Sciences
Amyloid precursor protein,Main Concept,Health & Medical Sciences
Geometric modeling,Main Concept,Formal Sciences
Blood–testis barrier,Main Concept,Health & Medical Sciences
Magneto-Optical Properties and Applications,Core Thematic Domain,Engineering & Technology
Upper crust,Main Concept,Social Sciences & Humanities
Matrix norm,Main Concept,Formal Sciences
Antipyretic,Main Concept,Life Sciences
International Prognostic Index,Main Concept,Health & Medical Sciences
Cascade algorithm,Main Concept,Natural Sciences
Cyberloafing and Workplace Behavior,Core Thematic Domain,Social Sciences
Loyalty business model,Main Concept,Social Sciences
Local Development,Main Concept,Social Sciences
Powdery Mildew Fungal Diseases,Core Thematic Domain,Life Sciences
Muon neutrino,Main Concept,Natural Sciences
Right to privacy,Main Concept,Social Sciences
Magnetic refrigeration,Main Concept,Engineering & Technology
Global Education Systems and Policies,Core Thematic Domain,Social Sciences
Music history,Main Concept,Social Sciences & Humanities
Hydraulic resistance,Main Concept,Engineering & Technology
Sadomasochism,Main Concept,Social Sciences & Humanities
Liver function,Main Concept,Health & Medical Sciences
Varices,Main Concept,Health & Medical Sciences
Watershed,Main Concept,Formal Sciences
Stellar physics,Main Concept,Natural Sciences
Radial basis function,Main Concept,Engineering & Technology
Renaissance Literature and Culture,Core Thematic Domain,Social Sciences & Humanities
Damping ratio,Main Concept,Engineering & Technology
Help-seeking,Main Concept,Social Sciences & Humanities
Transverse plane,Main Concept,Engineering & Technology
Arid,Main Concept,Life Sciences
Scale insect,Main Concept,Life Sciences
Political Economy and Marxism,Core Thematic Domain,Social Sciences
Synchrotron light source,Main Concept,Natural Sciences
Thigh,Main Concept,Health & Medical Sciences
Adeno-associated virus,Main Concept,Health & Medical Sciences
Polishing,Main Concept,Engineering & Technology
Applied Psychology,Academic Subdiscipline,Social Sciences & Humanities
M-estimator,Main Concept,Life Sciences
Spine and Intervertebral Disc Pathology,Core Thematic Domain,Health & Medical Sciences
Cepheid variable,Main Concept,Health & Medical Sciences
Study and Philosophy of Religion,Core Thematic Domain,Social Sciences & Humanities
Black tea,Main Concept,Health & Medical Sciences
Cross-platform,Main Concept,Formal Sciences
Geographic routing,Main Concept,Formal Sciences
Liquid-crystal display,Main Concept,Health & Medical Sciences
Constant voltage,Main Concept,Engineering & Technology
Free trade agreement,Main Concept,Social Sciences
Fish stock,Main Concept,Life Sciences
Photon upconversion,Main Concept,Engineering & Technology
High-temperature electrolysis,Main Concept,Engineering & Technology
Silicone and Siloxane Chemistry,Core Thematic Domain,Engineering & Technology
Linked data,Main Concept,Formal Sciences
Generalized coordinates,Main Concept,Natural Sciences
Health Promotion and Cardiovascular Prevention,Core Thematic Domain,Health & Medical Sciences
Systems theory in political science,Main Concept,Social Sciences & Humanities
Target lesion,Main Concept,Formal Sciences
Religious Tourism and Spaces,Core Thematic Domain,Social Sciences
Carbazole,Main Concept,Health & Medical Sciences
Unintended consequences,Main Concept,Health & Medical Sciences
Divergence (linguistics),Main Concept,Formal Sciences
ENCODE,Main Concept,Formal Sciences
Outdoor and Experiential Education,Core Thematic Domain,Social Sciences & Humanities
Sociology of leisure,Main Concept,Natural Sciences
Efficiency,Main Concept,Formal Sciences
Aryl hydrocarbon receptor,Main Concept,Natural Sciences
Development,Academic Subdiscipline,Social Sciences
Alkaloids: synthesis and pharmacology,Core Thematic Domain,Health & Medical Sciences
Zeitgeist,Main Concept,Social Sciences
Autophagosome,Main Concept,Life Sciences
Neural ensemble,Main Concept,Engineering & Technology
Mineral processing,Main Concept,Engineering & Technology
Sine wave,Main Concept,Health & Medical Sciences
Nutrition and Dietetics,Academic Subdiscipline,Health & Medical Sciences
Activity recognition,Main Concept,Formal Sciences
Genetic diversity and population structure,Core Thematic Domain,Health & Medical Sciences
Seismology and Earthquake Studies,Core Thematic Domain,Formal Sciences
Web site,Main Concept,Formal Sciences
Grashof number,Main Concept,Engineering & Technology
Retina,Main Concept,Health & Medical Sciences
Papain,Main Concept,Health & Medical Sciences
Disease burden,Main Concept,Life Sciences
Humulene,Main Concept,Life Sciences
Low-rank approximation,Main Concept,Formal Sciences
Wood drying,Main Concept,Natural Sciences
Musicality,Main Concept,Social Sciences & Humanities
Modeling and Simulation Systems,Core Thematic Domain,Formal Sciences
ARDS,Main Concept,Health & Medical Sciences
Sandfly,Main Concept,Health & Medical Sciences
Myxoid liposarcoma,Main Concept,Health & Medical Sciences
Innovator,Main Concept,Formal Sciences
International Environmental Law and Policies,Core Thematic Domain,Natural Sciences
Cityscape,Main Concept,Social Sciences & Humanities
Neisseria,Main Concept,Health & Medical Sciences
Beers Criteria,Main Concept,Health & Medical Sciences
Calcium hydroxide,Main Concept,Health & Medical Sciences
Esophagus,Main Concept,Health & Medical Sciences
Information-theoretic security,Main Concept,Formal Sciences
RGB color model,Main Concept,Life Sciences
Political Dynamics in Latin America,Core Thematic Domain,Social Sciences
Relapse prevention,Main Concept,Social Sciences & Humanities
Erg,Main Concept,Health & Medical Sciences
Intergenic region,Main Concept,Life Sciences
Penetration depth,Main Concept,Engineering & Technology
Retained placenta,Main Concept,Health & Medical Sciences
Jigsaw,Main Concept,Social Sciences
Degradation (telecommunications),Main Concept,Life Sciences
Logistics management,Main Concept,Natural Sciences
Alkalinity,Main Concept,Life Sciences
Hydrogen Storage and Materials,Core Thematic Domain,Engineering & Technology
Isotopes of oxygen,Main Concept,Social Sciences & Humanities
Gyroradius,Main Concept,Natural Sciences
Wave mechanics,Main Concept,Engineering & Technology
Drop (telecommunication),Main Concept,Life Sciences
Glycosidic bond,Main Concept,Life Sciences
Stability criterion,Main Concept,Engineering & Technology
Microbial collagenase,Main Concept,Health & Medical Sciences
Prenatal Substance Exposure Effects,Core Thematic Domain,Health & Medical Sciences
Wireless Signal Modulation Classification,Core Thematic Domain,Formal Sciences
Reproductive rights,Main Concept,Social Sciences
Tylosin,Main Concept,Natural Sciences
Breastfeeding Practices and Influences,Core Thematic Domain,Health & Medical Sciences
Response analysis,Main Concept,Life Sciences
Expansive,Main Concept,Social Sciences & Humanities
Chemical ionization,Main Concept,Natural Sciences
Machine-readable dictionary,Main Concept,Social Sciences & Humanities
Moral obligation,Main Concept,Social Sciences
Galactic astronomy,Main Concept,Engineering & Technology
Cryptand,Main Concept,Life Sciences
Genetic Neurodegenerative Diseases,Core Thematic Domain,Life Sciences
IVIVC,Main Concept,Natural Sciences
Quantum Electrodynamics and Casimir Effect,Core Thematic Domain,Natural Sciences
Background radiation,Main Concept,Natural Sciences
Derivatives market,Main Concept,Social Sciences & Humanities
Legal realism,Main Concept,Social Sciences
Graves' ophthalmopathy,Main Concept,Health & Medical Sciences
Risk assessment,Main Concept,Social Sciences & Humanities
Grassland,Main Concept,Life Sciences
Von Willebrand factor,Main Concept,Health & Medical Sciences
Auditor independence,Main Concept,Social Sciences & Humanities
Knudsen number,Main Concept,Formal Sciences
Starch,Main Concept,Life Sciences
Chronic insomnia,Main Concept,Social Sciences
Marketing strategy,Main Concept,Social Sciences & Humanities
Multilingual Education and Policy,Core Thematic Domain,Social Sciences
Mercapturic acid,Main Concept,Health & Medical Sciences
Light-emitting diode,Main Concept,Life Sciences
"Adsorption, diffusion, and thermodynamic properties of materials",Core Thematic Domain,Natural Sciences
Ant colony optimization algorithms,Main Concept,Formal Sciences
Caste,Main Concept,Social Sciences & Humanities
Stem cell theory of aging,Main Concept,Health & Medical Sciences
Unpaid work,Main Concept,Social Sciences & Humanities
Cervical cancer,Main Concept,Life Sciences
Enterobacter aerogenes,Main Concept,Life Sciences
Marketing mix modeling,Main Concept,Social Sciences
Seventeenth-Century Political and Philosophical Thought,Core Thematic Domain,Social Sciences & Humanities
Achondrite,Main Concept,Natural Sciences
Economic capital,Main Concept,Social Sciences & Humanities
Reconstructive memory,Main Concept,Social Sciences & Humanities
Buckling,Main Concept,Health & Medical Sciences
Acute respiratory distress,Main Concept,Health & Medical Sciences
Recurrent neural network,Main Concept,Formal Sciences
Filter (signal processing),Main Concept,Social Sciences & Humanities
Compressive strength,Main Concept,Social Sciences & Humanities
Electrohydrodynamics,Main Concept,Life Sciences
Environmental Quality and Pollution,Core Thematic Domain,Natural Sciences
Fibration,Main Concept,Engineering & Technology
Collocation (remote sensing),Main Concept,Engineering & Technology
Good clinical practice,Main Concept,Health & Medical Sciences
Modern philosophy,Main Concept,Social Sciences & Humanities
Three prime untranslated region,Main Concept,Life Sciences
Local Governance and Development,Core Thematic Domain,Social Sciences
Traditional grammar,Main Concept,Social Sciences & Humanities
Pulmonary fibrosis,Main Concept,Health & Medical Sciences
Protocatechuic acid,Main Concept,Health & Medical Sciences
Thyroid disease,Main Concept,Health & Medical Sciences
Longhorn beetle,Main Concept,Life Sciences
Restriction digest,Main Concept,Life Sciences
Myocardial ischemia,Main Concept,Health & Medical Sciences
Current Population Survey,Main Concept,Social Sciences & Humanities
Streptokinase,Main Concept,Health & Medical Sciences
Automatic control,Main Concept,Engineering & Technology
Electromagnetic interference,Main Concept,Formal Sciences
Open source software,Main Concept,Social Sciences & Humanities
Callback,Main Concept,Formal Sciences
"Banking, Crisis Management, COVID-19 Impact",Core Thematic Domain,Life Sciences
Vascular smooth muscle,Main Concept,Health & Medical Sciences
Low-dropout regulator,Main Concept,Engineering & Technology
Associative property,Main Concept,Social Sciences & Humanities
Superparamagnetism,Main Concept,Engineering & Technology
Crypt,Main Concept,Health & Medical Sciences
Structure and agency,Main Concept,Social Sciences
Neurotoxicity,Main Concept,Life Sciences
Diallyl trisulfide,Main Concept,Health & Medical Sciences
"Balkans: History, Politics, Society",Core Thematic Domain,Social Sciences
Closed captioning,Main Concept,Formal Sciences
Ichthyology,Main Concept,Natural Sciences
Cortical dysplasia,Main Concept,Health & Medical Sciences
Advancements in Solid Oxide Fuel Cells,Core Thematic Domain,Engineering & Technology
Angiopathy,Main Concept,Health & Medical Sciences
Veterinary Orthopedics and Neurology,Core Thematic Domain,Life Sciences
Sambucus nigra,Main Concept,Life Sciences
Internationalization of Higher Education,Main Concept,Social Sciences
Fast Fourier transform,Main Concept,Formal Sciences
Construction Project Management and Performance,Core Thematic Domain,Social Sciences & Humanities
Metabolic rate,Main Concept,Life Sciences
Near-infrared spectroscopy,Main Concept,Life Sciences
Dynamic stochastic general equilibrium,Main Concept,Social Sciences & Humanities
Ruminococcus,Main Concept,Life Sciences
CobB,Main Concept,Life Sciences
Gonioscopy,Main Concept,Health & Medical Sciences
Cytosol,Main Concept,Life Sciences
Molecular imaging,Main Concept,Health & Medical Sciences
Negative refraction,Main Concept,Engineering & Technology
Standard solar model,Main Concept,Natural Sciences
Video tracking,Main Concept,Formal Sciences
Blazar,Main Concept,Natural Sciences
Network Security and Intrusion Detection,Core Thematic Domain,Formal Sciences
Amikacin,Main Concept,Life Sciences
"Surfaces, Coatings and Films",Academic Subdiscipline,Engineering & Technology
Antibiotic-associated diarrhea,Main Concept,Health & Medical Sciences
Acacia,Main Concept,Life Sciences
Diffuse large B-cell lymphoma,Main Concept,Health & Medical Sciences
Natural language,Main Concept,Formal Sciences
Posterior parietal cortex,Main Concept,Health & Medical Sciences
Pectus excavatum,Main Concept,Health & Medical Sciences
Sputum,Main Concept,Health & Medical Sciences
Vertebral osteomyelitis,Main Concept,Health & Medical Sciences
Nephrology,Academic Subdiscipline,Health & Medical Sciences
Sclerodactyly,Main Concept,Health & Medical Sciences
Kinase insert domain receptor,Main Concept,Health & Medical Sciences
Growing season,Main Concept,Life Sciences
Ensembl,Main Concept,Life Sciences
Geolocation,Main Concept,Social Sciences
Structural Response to Dynamic Loads,Core Thematic Domain,Engineering & Technology
Amplified fragment length polymorphism,Main Concept,Life Sciences
Mandarin Chinese,Main Concept,Social Sciences
African Studies and Ethnography,Core Thematic Domain,Social Sciences
Neglect,Main Concept,Social Sciences & Humanities
Revenue,Main Concept,Formal Sciences
Transform fault,Main Concept,Natural Sciences
Dental anatomy,Main Concept,Health & Medical Sciences
Elegy,Main Concept,Social Sciences & Humanities
Alien,Main Concept,Life Sciences
Transplantation: Methods and Outcomes,Core Thematic Domain,Health & Medical Sciences
Convolution (computer science),Main Concept,Formal Sciences
Ventricular tachycardia,Main Concept,Health & Medical Sciences
Probit,Main Concept,Social Sciences
Social anthropology,Main Concept,Social Sciences & Humanities
Fenton's reagent,Main Concept,Natural Sciences
TOPSIS,Main Concept,Life Sciences
Ciona intestinalis,Main Concept,Natural Sciences
Taxpayer,Main Concept,Social Sciences
Bankruptcy prediction,Main Concept,Social Sciences & Humanities
Viral evolution,Main Concept,Health & Medical Sciences
Zygmunt Bauman's Sociology,Core Thematic Domain,Social Sciences
Stability and Controllability of Differential Equations,Core Thematic Domain,Engineering & Technology
Fluid dynamics and aerodynamics studies,Core Thematic Domain,Engineering & Technology
Geography and Environmental Studies in Latin America,Core Thematic Domain,Social Sciences
Punching,Main Concept,Health & Medical Sciences
News media,Main Concept,Formal Sciences
Mathematical economics,Main Concept,Social Sciences & Humanities
Cryptosystem,Main Concept,Formal Sciences
Capital (architecture),Main Concept,Social Sciences & Humanities
Civil discourse,Main Concept,Social Sciences & Humanities
Regional studies,Main Concept,Social Sciences
Offshore wind power,Main Concept,Engineering & Technology
Occupational exposure and asthma,Core Thematic Domain,Health & Medical Sciences
3D Printing in Biomedical Research,Core Thematic Domain,Engineering & Technology
Host response,Main Concept,Life Sciences
Two step,Main Concept,Social Sciences & Humanities
Solar water heating,Main Concept,Engineering & Technology
Falls in older adults,Main Concept,Health & Medical Sciences
Self-confidence,Main Concept,Health & Medical Sciences
Flatness problem,Main Concept,Natural Sciences
Animal husbandry,Main Concept,Life Sciences
ERBB3,Main Concept,Health & Medical Sciences
Bayesian Modeling and Causal Inference,Core Thematic Domain,Formal Sciences
Principal component regression,Main Concept,Engineering & Technology
Working Formulation,Main Concept,Health & Medical Sciences
Packet loss,Main Concept,Formal Sciences
Business analytics,Main Concept,Social Sciences & Humanities
White coat hypertension,Main Concept,Health & Medical Sciences
Consumer demand,Main Concept,Life Sciences
Homology (biology),Main Concept,Formal Sciences
Relative purchasing power parity,Main Concept,Social Sciences & Humanities
Hawking radiation,Main Concept,Natural Sciences
Tendinosis,Main Concept,Health & Medical Sciences
Country of origin,Main Concept,Health & Medical Sciences
Paraoxonase,Main Concept,Life Sciences
Human brain,Main Concept,Formal Sciences
Cellular automaton,Main Concept,Formal Sciences
Fludrocortisone,Main Concept,Health & Medical Sciences
Moraine,Main Concept,Natural Sciences
Orthogonal frequency-division multiplexing,Main Concept,Formal Sciences
Net energy,Main Concept,Engineering & Technology
Alloy,Main Concept,Health & Medical Sciences
Scene statistics,Main Concept,Formal Sciences
Crowding,Main Concept,Health & Medical Sciences
Avena,Main Concept,Life Sciences
Functional connectivity,Main Concept,Health & Medical Sciences
Metalation,Main Concept,Natural Sciences
Information integration,Main Concept,Formal Sciences
Pseudohypoaldosteronism,Main Concept,Health & Medical Sciences
Epoxy adhesive,Main Concept,Engineering & Technology
"Media, Journalism, and Communication History",Core Thematic Domain,Social Sciences & Humanities
Perforant path,Main Concept,Health & Medical Sciences
Impulse response,Main Concept,Life Sciences
Carbon capture and storage (timeline),Main Concept,Natural Sciences
Fruit tree,Main Concept,Life Sciences
Anisotropic diffusion,Main Concept,Formal Sciences
Permian,Main Concept,Social Sciences & Humanities
Intraparietal sulcus,Main Concept,Health & Medical Sciences
Single particle analysis,Main Concept,Natural Sciences
Quenching (fluorescence),Main Concept,Life Sciences
Computer Science and Engineering,Core Thematic Domain,Formal Sciences
Ectopic pregnancy,Main Concept,Health & Medical Sciences
Lipoteichoic acid,Main Concept,Health & Medical Sciences
Curvilinear coordinates,Main Concept,Formal Sciences
W state,Main Concept,Formal Sciences
Olympiad,Main Concept,Health & Medical Sciences
Research Domain Criteria,Main Concept,Social Sciences & Humanities
Information visualization,Main Concept,Formal Sciences
Intestinal permeability,Main Concept,Health & Medical Sciences
Natural science,Main Concept,Social Sciences
Information flow,Main Concept,Formal Sciences
Tidal force,Main Concept,Engineering & Technology
Network controllability,Main Concept,Natural Sciences
Coronary restenosis,Main Concept,Health & Medical Sciences
Pointwise,Main Concept,Formal Sciences
Fat pad,Main Concept,Health & Medical Sciences
Monoclinic crystal system,Main Concept,Health & Medical Sciences
Labor Market and Education,Core Thematic Domain,Social Sciences & Humanities
Highway system,Main Concept,Engineering & Technology
Eyes open,Main Concept,Social Sciences & Humanities
Retinal detachment,Main Concept,Health & Medical Sciences
Cerebrospinal fluid and hydrocephalus,Core Thematic Domain,Life Sciences
Proline dehydrogenase,Main Concept,Life Sciences
Cancer Research,Academic Subdiscipline,Life Sciences
Animal behavior,Main Concept,Social Sciences & Humanities
Food hypersensitivity,Main Concept,Health & Medical Sciences
Bromide,Main Concept,Life Sciences
Polymer composites and self-healing,Core Thematic Domain,Engineering & Technology
Turning point,Main Concept,Social Sciences & Humanities
Organizational effectiveness,Main Concept,Social Sciences & Humanities
Global city,Main Concept,Formal Sciences
Geriatric Care and Nursing Homes,Core Thematic Domain,Health & Medical Sciences
Plant disease,Main Concept,Formal Sciences
Serbian,Main Concept,Social Sciences
Galvanization,Main Concept,Engineering & Technology
Spin wave,Main Concept,Engineering & Technology
Pulmonary gas pressures,Main Concept,Engineering & Technology
Power semiconductor device,Main Concept,Natural Sciences
Instant,Main Concept,Social Sciences
Renewable energy and sustainable power systems,Core Thematic Domain,Engineering & Technology
Barrier function,Main Concept,Health & Medical Sciences
Passive house,Main Concept,Social Sciences
Hele-Shaw flow,Main Concept,Engineering & Technology
Phase distortion,Main Concept,Engineering & Technology
Attention span,Main Concept,Social Sciences & Humanities
"Housing, Finance, and Neoliberalism",Core Thematic Domain,Social Sciences & Humanities
Mechanical and Optical Resonators,Core Thematic Domain,Natural Sciences
Locus coeruleus,Main Concept,Health & Medical Sciences
Optical lattice,Main Concept,Natural Sciences
Colorectal cancer,Main Concept,Life Sciences
Semantic reasoner,Main Concept,Formal Sciences
Cardiac hypertrophy,Main Concept,Health & Medical Sciences
Quantum cryptography,Main Concept,Formal Sciences
Countdown,Main Concept,Life Sciences
Tsunami wave,Main Concept,Engineering & Technology
Sciatica,Main Concept,Engineering & Technology
Mental health literacy,Main Concept,Social Sciences & Humanities
Innovation in Digital Healthcare Systems,Core Thematic Domain,Health & Medical Sciences
Molecular Biology Techniques and Applications,Core Thematic Domain,Life Sciences
Foveal,Main Concept,Life Sciences
Social memory,Main Concept,Social Sciences & Humanities
Islamic banking,Main Concept,Social Sciences
Formate,Main Concept,Natural Sciences
Salientia,Main Concept,Social Sciences & Humanities
International Financial Reporting Standards,Main Concept,Social Sciences
Death Anxiety and Social Exclusion,Core Thematic Domain,Social Sciences & Humanities
Multistatic radar,Main Concept,Engineering & Technology
Biotic component,Main Concept,Life Sciences
Ga2O3 and related materials,Core Thematic Domain,Engineering & Technology
Criminology,Main Concept,Social Sciences & Humanities
TCIRG1,Main Concept,Social Sciences
Connectome,Main Concept,Health & Medical Sciences
Extreme poverty,Main Concept,Life Sciences
Academic Research in Diverse Fields,Core Thematic Domain,Social Sciences
Rainforest,Main Concept,Life Sciences
Transportation Systems and Safety,Core Thematic Domain,Formal Sciences
Blackout,Main Concept,Formal Sciences
Plant biochemistry and biosynthesis,Core Thematic Domain,Life Sciences
Media Influence and Health,Core Thematic Domain,Social Sciences & Humanities
Doctoral Education Challenges and Solutions,Core Thematic Domain,Health & Medical Sciences
Opiate,Main Concept,Health & Medical Sciences
Lumbar lordosis,Main Concept,Health & Medical Sciences
Cochrane Library,Main Concept,Social Sciences & Humanities
Type genus,Main Concept,Life Sciences
Scheduling and Timetabling Solutions,Core Thematic Domain,Social Sciences & Humanities
Plate theory,Main Concept,Engineering & Technology
Web and Library Services,Core Thematic Domain,Formal Sciences
Regulation of gene expression,Main Concept,Life Sciences
Metagenomics,Main Concept,Life Sciences
Chemical structure,Main Concept,Life Sciences
Elementary mathematics,Main Concept,Social Sciences & Humanities
Romanticism,Main Concept,Natural Sciences
Liberation theology,Main Concept,Social Sciences
Space (punctuation),Main Concept,Social Sciences & Humanities
Growth hormone secretagogue receptor,Main Concept,Health & Medical Sciences
Philosophical and Cultural Analysis,Core Thematic Domain,Social Sciences & Humanities
Acknowledgement,Main Concept,Engineering & Technology
Indian History and Philosophy,Core Thematic Domain,Social Sciences & Humanities
Nitrogen-vacancy center,Main Concept,Formal Sciences
Financial instrument,Main Concept,Social Sciences & Humanities
Diacylglycerol kinase,Main Concept,Life Sciences
Geology and Paleoclimatology Research,Core Thematic Domain,Natural Sciences
Spanish Philosophy and Literature,Core Thematic Domain,Social Sciences & Humanities
Organizational theory,Main Concept,Formal Sciences
Pregnenolone sulfate,Main Concept,Natural Sciences
Autophagy in Disease and Therapy,Core Thematic Domain,Health & Medical Sciences
Feshbach resonance,Main Concept,Natural Sciences
Workbench,Main Concept,Formal Sciences
Supply chain,Main Concept,Formal Sciences
Colonial History and Postcolonial Studies,Core Thematic Domain,Social Sciences
Allopatric speciation,Main Concept,Life Sciences
Abortion,Main Concept,Life Sciences
Hypoxia (environmental),Main Concept,Life Sciences
Traffic control and management,Core Thematic Domain,Engineering & Technology
Youth culture,Main Concept,Social Sciences
Nature Conservation,Main Concept,Life Sciences
Cervical Cancer and HPV Research,Core Thematic Domain,Health & Medical Sciences
Quasi-solid,Main Concept,Engineering & Technology
Natural Compound Pharmacology Studies,Core Thematic Domain,Life Sciences
Thermoplastic,Main Concept,Life Sciences
Mollusks and Parasites Studies,Core Thematic Domain,Life Sciences
Customer service,Main Concept,Social Sciences
Video game development,Main Concept,Social Sciences & Humanities
Carbon nanotube supported catalyst,Main Concept,Engineering & Technology
Law of the sea,Main Concept,Social Sciences
vaccines and immunoinformatics approaches,Core Thematic Domain,Life Sciences
Satellite Image Processing and Photogrammetry,Core Thematic Domain,Engineering & Technology
Bat Biology and Ecology Studies,Core Thematic Domain,Life Sciences
Transposon mutagenesis,Main Concept,Life Sciences
Emtp,Main Concept,Engineering & Technology
Attitude change,Main Concept,Social Sciences & Humanities
Agatston score,Main Concept,Health & Medical Sciences
Volcano,Main Concept,Formal Sciences
Platelet factor 4,Main Concept,Health & Medical Sciences
Advanced Battery Technologies Research,Core Thematic Domain,Engineering & Technology
Cladocera,Main Concept,Natural Sciences
Zika virus,Main Concept,Health & Medical Sciences
Manuka Honey,Main Concept,Life Sciences
Nicotine gum,Main Concept,Health & Medical Sciences
Statistical ensemble,Main Concept,Formal Sciences
Cancer survivor,Main Concept,Health & Medical Sciences
"Radio, Podcasts, and Digital Media",Core Thematic Domain,Social Sciences
Chordin,Main Concept,Health & Medical Sciences
Diverse Scientific and Engineering Research,Core Thematic Domain,Engineering & Technology
Entanglement witness,Main Concept,Formal Sciences
Exclusive right,Main Concept,Social Sciences
Transfer (computing),Main Concept,Formal Sciences
Helicity,Main Concept,Natural Sciences
Ideal theory,Main Concept,Formal Sciences
Cartilage damage,Main Concept,Health & Medical Sciences
SWAT model,Main Concept,Natural Sciences
Griffin,Main Concept,Formal Sciences
Gold standard (test),Main Concept,Life Sciences
Diagnostic test,Main Concept,Health & Medical Sciences
Information privacy,Main Concept,Formal Sciences
Polyarteritis nodosa,Main Concept,Health & Medical Sciences
Deterrence theory,Main Concept,Engineering & Technology
Impression management,Main Concept,Social Sciences
Internationalization,Main Concept,Social Sciences
Recursion (computer science),Main Concept,Social Sciences & Humanities
Unit root,Main Concept,Life Sciences
Medicinal herbs,Main Concept,Life Sciences
Magnetic energy,Main Concept,Natural Sciences
Sobolev inequality,Main Concept,Formal Sciences
Military and Defense Studies,Core Thematic Domain,Social Sciences
"HIV, Drug Use, Sexual Risk",Core Thematic Domain,Health & Medical Sciences
Skewness,Main Concept,Health & Medical Sciences
Side channel attack,Main Concept,Formal Sciences
Motor cognition,Main Concept,Social Sciences & Humanities
Cardiac output,Main Concept,Health & Medical Sciences
Nursing theory,Main Concept,Social Sciences & Humanities
Interplanetary space,Main Concept,Natural Sciences
Emission spectrum,Main Concept,Natural Sciences
Total organic carbon,Main Concept,Life Sciences
Ingestion,Main Concept,Health & Medical Sciences
Real line,Main Concept,Social Sciences & Humanities
History of Education in Spain,Core Thematic Domain,Social Sciences & Humanities
Random oracle,Main Concept,Formal Sciences
Ropinirole,Main Concept,Health & Medical Sciences
Morphing,Main Concept,Engineering & Technology
Co-chaperone,Main Concept,Life Sciences
Diophantine equation,Main Concept,Social Sciences
Lewis acids and bases,Main Concept,Health & Medical Sciences
Digital signal processing,Main Concept,Formal Sciences
Kawasaki Disease and Coronary Complications,Core Thematic Domain,Health & Medical Sciences
Ion channel,Main Concept,Life Sciences
Microporous material,Main Concept,Engineering & Technology
Williams Syndrome Research,Core Thematic Domain,Life Sciences
Muscle mass,Main Concept,Health & Medical Sciences
Medical Malpractice and Liability Issues,Core Thematic Domain,Health & Medical Sciences
Saliency map,Main Concept,Formal Sciences
Enlightenment,Main Concept,Social Sciences & Humanities
RuBisCO,Main Concept,Life Sciences
Substrate specificity,Main Concept,Health & Medical Sciences
Rotational invariance,Main Concept,Formal Sciences
Carotid stenting,Main Concept,Health & Medical Sciences
Adverse possession,Main Concept,Social Sciences
Project charter,Main Concept,Social Sciences & Humanities
Operations management,Main Concept,Social Sciences & Humanities
